"","Model_name","crop_input_sizue","epoch_max","lr","hierarchy_match","val_set"
"1","Model_1",19,50,0.001,"A",2
"2","Model_2",19,50,0.001,"B",3
"3","Model_3",19,50,0.005,"A",4
"4","Model_4",19,50,0.005,"B",5
"5","Model_5",19,80,0.001,"A",1
"6","Model_6",19,80,0.001,"B",2
"7","Model_7",19,80,0.005,"A",3
"8","Model_8",19,80,0.005,"B",4
"9","Model_9",30,50,0.001,"A",5
"10","Model_10",30,50,0.001,"B",1
"11","Model_11",30,50,0.005,"A",2
"12","Model_12",30,50,0.005,"B",3
"13","Model_13",30,80,0.001,"A",4
"14","Model_14",30,80,0.001,"B",5
"15","Model_15",30,80,0.005,"A",1
"16","Model_16",30,80,0.005,"B",2
"17","Model_17",40,50,0.001,"A",3
"18","Model_18",40,50,0.001,"B",4
"19","Model_19",40,50,0.005,"A",5
"20","Model_20",40,50,0.005,"B",1
"21","Model_21",40,80,0.001,"A",2
"22","Model_22",40,80,0.001,"B",3
"23","Model_23",40,80,0.005,"A",4
"24","Model_24",40,80,0.005,"B",5
